ano_mes_ordinal;valor_receita;SMA(12);SMA(6);SMA(3);SMA(2);lag(12);lag(6);lag(4);lag(3);lag(2);lag(1);populacao;variacao_anual;aceleracao_variacao_anual;valor_pib
736269;10455486.46;7817970.706666667;7696091.9750000015;8203935.093333334;8766822.935;9579447.26;8237572.350000001;6663587.11;6663587.11;7078159.41;7078159.41;61816;385;-16;1039264000.0
736269;10455486.46;7890973.973333334;8065744.326666668;9329710.776666667;10455486.46;9579447.26;8237572.350000001;6663587.11;7078159.41;7078159.41;10455486.46;61816;385;-16;1039264.14
736299;15404196.47;8488303.0625;9522512.553333335;12105056.463333333;12929841.465;8236247.4;6663587.11;7078159.41;7078159.41;10455486.46;10455486.46;61816;385;-16;1039264000.0
736299;15404196.47;9085632.151666667;10979280.780000001;13754626.466666669;15404196.47;8236247.4;6663587.11;7078159.41;10455486.46;10455486.46;15404196.47;61816;385;-16;1039264.14
736330;6837948.57;9099228.606666667;10939245.64;12548780.503333336;11121072.52;6674791.11;7078159.41;10455486.46;10455486.46;15404196.47;15404196.47;62187;371;-14;1096132.93
736361;8856545.2;9281041.4475;11235643.271666668;10366230.08;7847246.885;6674791.11;7078159.41;10455486.46;15404196.47;15404196.47;6837948.57;62187;371;-14;1096132.93
736389;7767413.07;9241861.5075;10787631.04;7820635.613333333;8311979.135;8237572.350000001;10455486.46;15404196.47;15404196.47;6837948.57;8856545.2;62187;371;-14;1096132.93
736420;6797188.84;9121829.548333334;10177914.770000001;7807049.036666666;7282300.955;8237572.350000001;10455486.46;15404196.47;6837948.57;8856545.2;7767413.07;62187;371;-14;1096132.93
736450;9001773.790000001;9316678.438333334;9110844.323333332;7855458.566666667;7899481.315;6663587.11;15404196.47;6837948.57;8856545.2;7767413.07;6797188.84;62187;371;-14;1096132.93
736481;7876507.890000001;9417755.17;7856229.56;7891823.506666668;8439140.84;6663587.11;15404196.47;8856545.2;7767413.07;6797188.84;9001773.790000001;62187;371;-14;1096132.93
736511;8395935.81;9527569.87;8115894.100000001;8424739.163333334;8136221.850000001;7078159.41;6837948.57;7767413.07;6797188.84;9001773.790000001;7876507.890000001;62187;371;-14;1096132.93
736542;8427976.25;9640054.606666667;8044465.941666667;8233473.316666667;8411956.030000001;7078159.41;8856545.2;6797188.84;9001773.790000001;7876507.890000001;8395935.81;62187;371;-14;1096132.93
736573;8455524.73;9473391.129166668;8159151.218333334;8426478.93;8441750.49;10455486.46;7767413.07;9001773.790000001;7876507.890000001;8395935.81;8427976.25;62187;371;-14;1096132.93
736603;8524628.44;9312486.294166667;8447057.818333333;8469376.473333333;8490076.585;10455486.46;6797188.84;7876507.890000001;8395935.81;8427976.25;8455524.73;62187;371;-14;1096132.93
736634;8904721.11;8770863.3475;8430882.371666668;8628291.426666668;8714674.774999999;15404196.47;9001773.790000001;8395935.81;8427976.25;8455524.73;8524628.44;62187;371;-14;1096132.93
736664;17137895.74;8915338.286666667;9974447.013333334;11522415.096666664;13021308.425;15404196.47;7876507.890000001;8427976.25;8455524.73;8524628.44;8904721.11;62187;371;-14;1096132.93
736695;8259222.06;9033777.744166667;9951661.388333334;11433946.303333333;12698558.9;6837948.57;8395935.81;8455524.73;8524628.44;8904721.11;17137895.74;61776;-411;-782;1064232000.0
736695;8259222.06;8984000.815833334;9923535.69;11218779.953333333;8259222.06;8856545.2;8427976.25;8524628.44;8904721.11;17137895.74;8259222.06;61776;-411;-782;1064231.52
736726;8990407.07;9085916.9825;10012682.746666666;8502950.396666666;8624814.565000001;7767413.07;8455524.73;8904721.11;17137895.74;8259222.06;8259222.06;61776;-411;-782;1064232000.0
736726;8990407.07;9268685.168333333;10090312.518333333;8746678.733333334;8990407.07;6797188.84;8524628.44;17137895.74;8259222.06;8259222.06;8990407.07;61776;-411;-782;1064231.52
736754;11981671.36;9517009.965833334;10603137.559999999;9987495.166666666;10486039.215000002;9001773.790000001;8904721.11;8259222.06;8259222.06;8990407.07;8990407.07;61776;-411;-782;1064232000.0
736754;11981671.36;9859106.921666667;9743766.83;10984583.263333334;11981671.36;7876507.890000001;17137895.74;8259222.06;8990407.07;8990407.07;11981671.36;61776;-411;-782;1064231.52
736785;8353772.02;9855593.272499999;9759525.156666666;10772371.579999998;10167721.690000001;8395935.81;8259222.06;8990407.07;8990407.07;11981671.36;11981671.36;61776;-411;-782;1064232000.0
736785;8353772.02;9849409.586666666;9775283.483333332;9563071.799999999;8353772.02;8427976.25;8259222.06;8990407.07;11981671.36;11981671.36;8353772.02;61776;-411;-782;1064231.52
736815;12832704.82;10214174.594166666;10415666.441666666;9846749.62;10593238.420000002;8455524.73;8990407.07;11981671.36;11981671.36;8353772.02;8353772.02;61776;-411;-782;1064232000.0
736815;12832704.82;10573180.959166666;11056049.4;11339727.219999999;12832704.82;8524628.44;8990407.07;11981671.36;8353772.02;8353772.02;12832704.82;61776;-411;-782;1064231.52
736846;9870316.65;10653647.254166666;10704156.948333332;11845242.096666666;11351510.735000003;8904721.11;11981671.36;8353772.02;8353772.02;12832704.82;12832704.82;61776;-411;-782;1064232000.0
736846;9870316.65;10048015.663333332;10352264.496666668;10857779.373333333;9870316.65;17137895.74;11981671.36;8353772.02;12832704.82;12832704.82;9870316.65;61776;-411;-782;1064231.52
736876;11089462.19;10283869.0075;10808212.858333332;10276698.496666668;10479889.420000002;8259222.06;8353772.02;12832704.82;12832704.82;9870316.65;9870316.65;61776;-411;-782;1064232000.0
736876;11089462.19;10519722.351666667;11264161.22;10683080.343333334;11089462.19;8259222.06;8353772.02;12832704.82;9870316.65;9870316.65;11089462.19;61776;-411;-782;1064231.52
736907;8545032.36;10482607.7925;10549549.143333333;10241318.913333332;9817247.275000002;8990407.07;12832704.82;9870316.65;9870316.65;11089462.19;11089462.19;61776;-411;-782;1064232000.0
736907;8545032.36;10445493.233333332;9834937.066666666;9393175.636666665;8545032.36;8990407.07;12832704.82;9870316.65;11089462.19;11089462.19;8545032.36;61776;-411;-782;1064231.52
736938;7082889.36;10037261.4;9370365.851666667;8057651.359999999;7813960.860000001;11981671.36;9870316.65;11089462.19;11089462.19;8545032.36;8545032.36;61776;-411;-782;1064232000.0
736938;7082889.36;9629029.566666666;8905794.636666665;7570270.359999999;7082889.36;11981671.36;9870316.65;11089462.19;8545032.36;8545032.36;7082889.36;61776;-411;-782;1064231.52
736968;9244402.33;9703248.759166667;8598284.66;7803393.683333334;8163645.8450000025;8353772.02;11089462.19;8545032.36;8545032.36;7082889.36;7082889.36;61776;-411;-782;1064232000.0
736968;9244402.33;9777467.951666666;8290774.683333334;8523898.006666668;9244402.33;8353772.02;11089462.19;8545032.36;7082889.36;7082889.36;9244402.33;61776;-411;-782;1064231.52
736999;13271080.6;9813999.266666666;9078449.39;10586628.42;11257741.465;12832704.82;8545032.36;7082889.36;7082889.36;9244402.33;9244402.33;61776;-411;-782;1064232000.0
736999;13271080.6;9850530.581666667;9866124.096666666;11928854.51;13271080.6;12832704.82;8545032.36;7082889.36;9244402.33;9244402.33;13271080.6;61776;-411;-782;1064231.52
737029;15957390.77;10357786.758333333;11345207.665000001;14166517.323333332;14614235.685;9870316.65;7082889.36;9244402.33;9244402.33;13271080.6;13271080.6;61776;-411;-782;1064232000.0
